vid,frame,avg_cvs,C1,C2,C3,is_ds_keyframe,cvs_annotator_1,cvs_annotator_2,cvs_annotator_3,mask_path,label_path
1,29375,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29400,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29425,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29450,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29475,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29500,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29525,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29550,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29575,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29600,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29625,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29650,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29675,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29700,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29725,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29750,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29775,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29800,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29825,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29850,"[0.0,0.0,0.0]",0.0,0.0,0.0,True,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",,
1,29875,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29900,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29925,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29950,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,29975,"[0.0,0.0,0.0]",0.0,0.0,0.0,True,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",,
1,30000,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,30025,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,30050,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,30075,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,30100,"[0.0,0.0,0.0]",0.0,0.0,0.0,True,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1_30100.npy,1_30100.csv
1,30125,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,30150,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,30175,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,30200,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,30225,"[0.0,0.0,0.0]",0.0,0.0,0.0,True,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",,
1,30250,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,30275,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,30300,"[0.3333333333333333,0.0,0.0]",0.3333333333333333,0.0,0.0,False,,,,,
1,30325,"[0.3333333333333333,0.0,0.0]",0.3333333333333333,0.0,0.0,False,,,,,
1,30350,"[0.3333333333333333,0.0,0.0]",0.3333333333333333,0.0,0.0,True,"[0, 0, 0]","[0, 0, 0]","[1, 0, 0]",,
1,30375,"[0.3333333333333333,0.0,0.0]",0.3333333333333333,0.0,0.0,False,,,,,
1,30400,"[0.3333333333333333,0.0,0.0]",0.3333333333333333,0.0,0.0,False,,,,,
1,30425,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,30450,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,30475,"[0.0,0.0,0.0]",0.0,0.0,0.0,True,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",,
1,30500,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,30525,"[0.0,0.0,0.0]",0.0,0.0,0.0,False,,,,,
1,30550,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]",0.3333333333333333,0.3333333333333333,0.3333333333333333,False,,,,,
1,30575,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]",0.3333333333333333,0.3333333333333333,0.3333333333333333,False,,,,,
